,0
1357,1318.0
1359,82.0
1365,519.0
1367,250.0
1368,75.0
1369,1600.0
1372,10.0
1373,545.0
1375,849.0
1379,162.0
1382,54.0
1384,1.0
1385,8.0
1387,1.0
1389,514.0
1392,156.0
1393,42.0
1394,38.0
1397,353.0
1398,52.0
1400,3.0
1406,80.0
1408,28.0
1409,29.0
1410,1.0
1411,196.0
1412,5.0
1413,327.0
1418,676.0
1421,1.0
1422,20.0
1425,25.0
1428,40.0
1430,1.0
1431,267.0
1433,36.0
1435,4.0
1436,1052.0
1437,1.0
1441,31.0
1443,46.0
1444,11.0
1446,1.0
1447,416.0
1448,48.0
1449,1358.0
1450,70.0
1453,32.0
1454,267.0
1456,167.0
1457,29.0
1458,3.0
1459,1031.0
1461,7.0
1462,1.0
1463,33.0
1466,464.0
1468,765.0
1469,735.0
1472,519.0
1473,171.0
1474,1750.0
1475,77.0
1477,1.0
1478,474.0
1482,67.0
1487,1275.0
1488,967.0
1490,1.0
1493,2.0
1497,77.0
1500,2908.0
1502,10.0
1503,2.0
1505,9.0
1506,4.0
1508,265.0
1509,66.0
1511,5.0
1517,4.0
1518,295.0
1519,12.0
1520,65.0
1525,112.0
1528,29.0
1529,243.0
1530,29.0
1532,2.0
1534,54.0
1537,183.0
1538,29.0
1539,14.0
1541,82.0
1543,3.0
1544,315.0
1547,12.0
1550,1.0
1552,11.0
1553,3.0
1554,31.0
1556,1031.0
1557,37.0
1558,9.0
1561,31.0
1562,85.0
1563,15.0
1568,390.0
1569,22.0
1571,17.0
1572,158.0
1573,2.0
1574,10.0
1577,7.0
1578,19.0
1581,1.0
1582,3.0
1584,420.0
1588,18.0
1592,14.0
1593,18.0
1594,316.0
1598,24.0
1600,118.0
1601,226.0
1604,16.0
1606,22.0
1610,17.0
1612,27.0
1613,25.0
1614,32.0
1616,99.0
1617,14.0
1621,32.0
1622,2.0
1623,77.0
1624,29.0
1625,7.0
1626,290.0
1627,7.0
1628,1649.0
1630,13.0
1632,138.0
1634,11.0
1636,137.0
1640,32.0
1641,59.0
1644,42.0
1645,28.0
1649,26.0
1651,46.0
1654,64.0
1655,14.0
1656,20.0
1657,73.0
1658,13.0
1659,35.0
1660,203.0
1665,167.0
1666,9.0
1667,234.0
1668,380.0
1669,61.0
1670,288.0
1672,7.0
1673,4.0
1675,90.0
1676,17.0
1677,47.0
1678,410.0
1680,627.0
1681,33.0
1686,672.0
1689,8.0
1690,397.0
1692,1.0
1693,1.0
1695,66.0
1696,724.0
1697,122.0
1698,393.0
1699,72.0
